Hoy Azimuth Altitude Hor_Angle Ver_Angle
1002 253.540157 3.390374 3.534914 11.809546
1015 104.767463 0.274174 0.283527 1.075459
1016 111.011529 13.01362 13.905718 32.805124
1017 118.82248 25.558367 28.627796 44.769059
1018 129.32815 37.051429 44.304058 49.987914
1019 144.170518 46.597899 61.030997 52.520538
1020 164.741741 52.652292 78.644461 53.639041
1021 189.05976 53.427819 83.336623 53.771368
1022 211.051045 48.625632 65.56624 52.961461
1023 227.350824 39.82941 48.591809 50.912311
1024 238.838017 28.742237 32.656721 46.664993
1025 247.24881 16.415733 17.717211 37.300453
1026 253.844799 3.518473 3.662717 12.461028
1039 104.461733 0.388584 0.401298 1.55563
1040 110.708764 13.170498 14.045331 33.49447
1041 118.515811 25.74661 28.76035 45.290653
1042 129.022649 37.281042 44.418019 50.406813
1043 143.903505 46.878284 61.113003 52.884738
1044 164.610093 52.977677 78.682077 53.978272
1045 189.152592 53.758381 83.34959 54.107742
1046 211.30762 48.915128 65.626501 53.316288
1047 227.661902 40.065304 48.688152 51.312412
1048 239.153247 28.93288 32.775771 47.151761
1049 247.558408 16.572217 17.846913 37.938112
1050 254.154181 3.645456 3.789028 13.133896
1063 104.153869 0.507751 0.523658 2.075655
1064 110.40374 13.331425 14.188841 34.204285
1065 118.206675 25.938776 28.896753 45.821796
1066 128.714507 37.514582 44.535811 50.831662
1067 143.634433 47.162766 61.198889 53.253417
1068 164.479886 53.307195 78.723476 54.321277
1069 189.25301 54.091975 83.358928 54.447751
1070 211.574004 49.205661 65.683324 53.674882
1071 227.981321 40.300763 48.78148 51.7168
1072 239.475027 29.122368 32.892206 47.64441
1073 247.873338 16.727289 17.974461 38.586454
1074 254.468188 3.771278 3.913798 13.829292
1087 103.843959 0.63165 0.650537 2.638016
1088 110.096523 13.496309 14.336291 34.934803
1089 117.89511 26.134756 29.03698 46.36225
1090 128.403719 37.751929 44.657398 51.262283
1091 143.363247 47.451224 61.288427 53.626338
1092 164.351099 53.640733 78.768624 54.667968
1093 189.36114 54.428475 83.364652 54.791136
1094 211.850269 49.497087 65.736725 54.036973
1095 228.309039 40.535664 48.871789 52.125407
1096 239.803262 29.310614 33.006169 48.142999
1097 248.193486 16.880899 18.099827 39.24558
1098 254.786702 3.895898 4.036933 14.548421
1111 103.532093 0.760248 0.781928 3.245674
1112 109.787176 13.665054 14.48746 35.685643
1113 117.58115 26.334439 29.180849 46.911632
1114 128.090274 37.99296 44.782561 51.698392
1115 143.089886 47.743534 61.381535 54.003427
1116 164.223712 53.978177 78.81727 55.018208
1117 189.477109 54.767753 83.366937 55.13793
1118 212.136485 49.789262 65.78684 54.402659
1119 228.645005 40.769887 48.959207 52.538244
1120 240.137851 29.497535 33.117554 48.647349
1121 248.51874 17.032995 18.223047 39.915842
1122 255.109608 4.019279 4.158451 15.292843
1135 103.218357 0.893499 0.91782 3.901803
1136 109.475762 13.837561 14.642233 36.456622
1137 117.264828 26.537714 29.328283 47.469821
1138 127.774161 38.237551 44.911175 52.13976
1139 142.814284 48.03957 61.478145 54.384533
1140 164.097697 54.319411 78.869384 55.371818
1141 189.601048 55.109681 83.365748 55.487976
1142 212.43272 50.082042 65.833775 54.771756
1143 228.989167 41.003313 49.043683 52.955026
1144 240.478689 29.68305 33.226417 49.157521
1145 248.848982 17.183532 18.344154 40.597256
1146 255.436784 4.141391 4.278364 16.064331
1159 102.902835 1.031345 1.058032 4.609119
1160 109.16234 14.013728 14.800573 37.247545
1161 116.946173 26.744463 29.479159 48.036347
1162 127.455366 38.485576 45.043213 52.58635
1163 142.53637 48.339203 61.578088 54.769396
1164 163.973024 54.66432 78.924909 55.728769
1165 189.733086 55.454129 83.361227 55.841081
1166 212.739038 50.375283 65.87751 55.144129
1167 229.341464 41.235824 49.125252 53.375829
1168 240.825667 29.867082 33.332778 49.673391
1169 249.184092 17.332464 18.463166 41.290005
1170 255.768112 4.262206 4.396643 16.864385
1183 102.585611 1.173717 1.202617 5.371565
1184 108.84697 14.193452 14.96241 38.058342
1185 116.625215 26.954569 29.633376 48.611069
1186 127.133871 38.736904 45.178463 53.037727
1187 142.256068 48.642305 61.681299 55.157965
1188 163.849657 55.012787 78.983686 56.088839
1189 189.873359 55.800967 83.353423 56.197297
1190 213.055498 50.668841 65.918117 55.51978
1191 229.701831 41.467307 49.204 53.800508
1192 241.178674 30.049556 33.436675 50.194823
1193 249.523948 17.479753 18.580021 41.994156
1194 256.103468 4.381701 4.513301 17.695078
1207 102.266764 1.320536 1.351399 6.192326
1208 108.529709 14.376624 15.127535 38.888298
1209 116.301982 27.167911 29.790815 49.193568
1210 126.809655 38.991406 45.316901 53.493908
1211 141.973297 48.948744 61.78759 55.550017
1212 163.727558 55.364694 79.045528 56.451951
1213 190.022001 56.150066 83.34255 56.556419
1214 213.382157 50.962573 65.955734 55.89854
1215 230.070196 41.697649 49.279969 54.228985
1216 241.537594 30.230401 33.538078 50.72188
1217 249.868429 17.625361 18.694777 42.709796
1218 256.442731 4.49986 4.628303 18.558133
