Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover
5361,89.163624,40.274919,40.27794,0.0,75.0,266.0,0.9
5362,95.583625,54.101283,54.230632,85.971393,184.0,301.0,0.9
5363,106.089377,67.707706,68.499786,83.517923,132.0,317.0,0.9
5364,137.131603,79.797314,83.019384,82.485619,191.0,379.0,0.9
5365,225.491364,79.357389,82.367253,82.495577,337.0,368.0,0.9
5366,254.485445,67.098671,67.851149,83.553102,369.0,449.0,0.9
5367,264.651983,53.466075,53.585588,86.049785,276.0,192.0,0.9
5368,270.97631,39.630866,39.634951,0.0,254.0,267.0,0.9
5369,276.185719,25.818663,25.950046,0.0,194.0,176.0,0.9
5370,281.231763,12.163799,12.394027,0.0,99.0,193.0,0.9
5383,79.171053,12.74969,12.973085,0.0,12.0,35.0,0.8
5384,84.252934,26.413946,26.529136,0.0,36.0,114.0,0.8
5385,89.558415,40.22548,40.226315,0.0,170.0,269.0,0.8
5386,96.096032,54.046965,54.201261,85.595606,222.0,331.0,0.8
5387,106.86364,67.624773,68.497444,83.189866,84.0,225.0,0.9
5388,138.399629,79.592143,83.047201,82.179255,80.0,218.0,0.9
5389,224.562264,79.105364,82.308444,82.191465,237.0,218.0,0.9
5390,253.814776,66.939963,67.763327,83.232647,312.0,270.0,0.8
5391,264.190476,53.331332,53.472557,85.690223,152.0,263.0,0.8
5392,270.616725,39.499997,39.501615,0.0,128.0,314.0,0.8
5393,275.880363,25.683022,25.801288,0.0,57.0,134.0,0.9
5394,280.955854,12.01834,12.234809,0.0,21.0,139.0,0.9
5407,79.480846,12.684835,12.89447,0.0,170.0,31.0,0.1
5408,84.592872,26.359796,26.461624,0.0,446.0,91.0,0.1
5409,89.958382,40.17575,40.17574,0.0,592.0,118.0,0.2
5410,96.614588,53.991433,54.173218,85.214536,668.0,131.0,0.2
5411,107.644109,67.538677,68.496814,82.85748,795.0,174.0,0.2
5412,139.641486,79.380568,83.077233,81.869008,630.0,294.0,0.3
5413,223.670785,78.846231,82.247046,81.883511,718.0,181.0,0.3
5414,253.146336,66.774762,67.672508,82.908029,720.0,189.0,0.3
5415,263.727037,53.191387,53.356276,85.325496,752.0,131.0,0.3
5416,270.254658,39.364648,39.364958,0.0,579.0,211.0,0.3
5417,275.57247,25.543336,25.649116,0.0,570.0,144.0,0.3
5418,280.677395,11.869134,12.072173,0.0,292.0,145.0,0.3
5431,79.794951,12.620454,12.816691,0.0,31.0,32.0,0.8
5432,84.937319,26.305821,26.39489,0.0,111.0,122.0,0.9
5433,90.363397,40.125674,40.126239,89.568822,37.0,257.0,0.9
5434,97.139095,53.934602,54.146579,84.828208,310.0,216.0,0.9
5435,108.430286,67.449303,68.497931,82.520886,210.0,407.0,0.9
5436,140.856697,79.162665,83.109431,81.554875,215.0,420.0,0.9
5437,222.815968,78.580219,82.183024,81.57173,254.0,266.0,0.9
5438,252.480691,66.603109,67.57871,82.579206,251.0,289.0,0.9
5439,263.261952,53.04626,53.236835,84.955818,355.0,315.0,0.9
5440,269.890279,39.224849,39.224882,89.865632,389.0,234.0,0.8
5441,275.262159,25.399644,25.493551,0.0,447.0,157.0,0.6
5442,280.39647,11.716238,11.906272,0.0,200.0,120.0,0.5
5455,80.113275,12.556534,12.739701,0.0,6.0,38.0,0.4
5456,85.286169,26.25199,26.329083,0.0,105.0,167.0,0.7
5457,90.773327,40.075195,40.077766,89.080914,145.0,230.0,0.9
5458,97.669347,53.876386,54.121198,84.436837,111.0,324.0,0.9
5459,109.221666,67.35654,68.500756,82.180138,124.0,390.0,0.9
5460,142.044908,78.938517,83.143797,81.237072,101.0,507.0,0.9
5461,221.99676,78.307558,82.116428,81.25623,121.0,492.0,0.9
5462,251.818378,66.425052,67.481992,82.246277,181.0,391.0,0.9
5463,262.7955,52.895977,53.114266,84.581054,227.0,453.0,0.9
5464,269.523756,39.080631,39.081572,89.413623,395.0,328.0,0.8
5465,274.949544,25.251992,25.334662,0.0,348.0,190.0,0.6
5466,280.113164,11.559709,11.737128,0.0,131.0,111.0,0.5
5479,80.43572,12.493064,12.663504,0.0,56.0,40.0,0.9
5480,85.639315,26.198268,26.264144,0.0,148.0,154.0,0.8
5481,91.188041,40.024255,40.030315,88.585782,493.0,151.0,0.8
5482,98.205139,53.816702,54.097165,84.040514,338.0,290.0,0.7
5483,110.017736,67.260282,68.505314,81.835433,648.0,247.0,0.7
5484,143.205878,78.708213,83.180333,80.915584,488.0,376.0,0.7
5485,221.212042,78.028474,82.047229,80.937089,635.0,249.0,0.5
5486,251.159907,66.240649,67.382402,81.909376,690.0,190.0,0.3
5487,262.327953,52.740569,52.988485,84.201338,712.0,179.0,0.2
5488,269.155255,38.932033,38.935089,88.954492,692.0,143.0,0.2
5489,274.634739,25.100427,25.17257,0.0,584.0,120.0,0.2
5490,279.827559,11.39961,11.564856,0.0,351.0,78.0,0.2
5503,80.762188,12.430027,12.588177,0.0,34.0,32.0,0.9
5504,85.99665,26.144619,26.200017,0.0,103.0,101.0,0.9
5505,91.607405,39.972796,39.983906,88.083465,400.0,228.0,0.9
5506,98.746259,53.755463,54.074433,83.639403,280.0,249.0,0.9
5507,110.817979,67.160425,68.511568,81.486883,494.0,317.0,0.9
5508,144.339477,78.471852,83.218987,80.59057,347.0,411.0,0.9
5509,220.460643,77.74319,81.975528,80.614348,287.0,435.0,0.9
5510,250.505755,66.049966,67.279922,81.568466,440.0,309.0,0.9
5511,261.859578,52.580073,52.859728,83.81676,311.0,424.0,0.9
5512,268.784939,38.779095,38.785376,88.488092,256.0,272.0,0.9
5513,274.317853,24.945001,25.007318,0.0,120.0,231.0,0.9
5514,279.539735,11.236006,11.38949,0.0,215.0,116.0,0.9
5527,81.092581,12.367406,12.513669,0.0,20.0,32.0,0.9
5528,86.358064,26.091004,26.136771,0.0,2.0,100.0,0.9
5529,92.031282,39.920759,39.938497,87.574365,56.0,127.0,0.9
5530,99.292492,53.692586,54.053028,83.233654,87.0,214.0,0.9
5531,111.621868,67.05687,68.519447,81.134487,72.0,439.0,0.9
5532,145.445667,78.229536,83.259702,80.262128,113.0,361.0,0.9
5533,219.741359,77.451926,81.901357,80.288093,30.0,379.0,0.9
5534,249.856373,65.853077,67.174565,81.22369,17.0,207.0,1.0
5535,261.390633,52.414533,52.727898,83.427249,30.0,249.0,1.0
5536,268.412966,38.621862,38.632582,88.014557,72.0,293.0,1.0
5537,273.998998,24.785768,24.838996,0.0,70.0,299.0,0.9
5538,279.249773,11.068966,11.211094,0.0,85.0,150.0,0.9
5551,81.426799,12.305183,12.439942,0.0,3.0,23.0,0.9
5552,86.723447,26.037384,26.074349,0.0,15.0,82.0,1.0
5553,92.459534,39.868081,39.894069,87.058614,42.0,103.0,1.0
5554,99.843617,53.627984,54.032868,82.823493,95.0,232.0,1.0
5555,112.428877,66.949522,68.528988,80.778546,200.0,164.0,0.9
5556,146.524498,77.981377,83.302484,79.930299,219.0,229.0,0.9
5557,219.052966,77.154896,81.824644,79.958479,249.0,479.0,0.9
5558,249.212176,65.650062,67.066496,80.875083,197.0,368.0,0.9
5559,260.921368,52.243995,52.59307,83.032953,342.0,317.0,0.9
5560,268.039492,38.460385,38.476709,87.53383,48.0,293.0,0.9
5561,273.67828,24.622787,24.667543,0.0,174.0,251.0,0.9
5562,278.95775,10.89856,11.029858,0.0,52.0,128.0,0.9
5575,81.764741,12.243335,12.36699,0.0,12.0,28.0,0.9
5576,87.092687,25.983719,26.012796,0.0,94.0,83.0,0.9
5577,92.892021,39.814702,39.850626,86.536361,115.0,209.0,0.9
5578,100.399412,53.561575,54.013919,82.408935,56.0,204.0,0.9
5579,113.238471,66.838291,68.540122,80.418997,88.0,359.0,0.9
5580,147.5761,77.727487,83.347287,79.595248,241.0,397.0,0.9
5581,218.39423,76.852312,81.745586,79.625523,295.0,409.0,0.9
5582,248.573553,65.441011,66.955673,80.522784,115.0,427.0,0.9
5583,260.452027,52.068515,52.455361,82.633951,201.0,296.0,0.9
5584,267.664669,38.294717,38.317877,87.04587,261.0,327.0,0.9
5585,273.355804,24.45612,24.493179,0.0,231.0,251.0,0.9
5586,278.663743,10.724864,10.845732,0.0,187.0,124.0,0.9
5599,82.106305,12.18184,12.294841,0.0,1.0,33.0,1.0
5600,87.465672,25.929965,25.952001,0.0,13.0,123.0,0.9
5601,93.328601,39.760559,39.808149,86.008011,35.0,341.0,0.9
5602,100.959649,53.493274,53.996195,81.990277,65.0,331.0,0.9
5603,114.050117,66.723092,68.552854,80.056087,128.0,363.0,0.9
5604,148.600669,77.467985,83.39411,79.257003,143.0,412.0,0.9
5605,217.763922,76.544381,81.664048,79.28932,70.0,304.0,0.9
5606,247.940858,65.22602,66.842159,80.16675,109.0,523.0,0.9
5607,259.982844,51.88815,52.314753,82.230177,304.0,404.0,0.9
5608,267.288647,38.124916,38.156087,86.55062,133.0,320.0,0.9
5609,273.031673,24.285831,24.315938,0.0,82.0,186.0,0.9
5610,278.367826,10.547954,10.658845,0.0,52.0,110.0,0.9
5623,82.451388,12.120674,12.223446,0.0,2.0,32.0,0.9
5624,87.842287,25.87608,25.892034,0.0,50.0,166.0,0.9
5625,93.769131,39.705589,39.766589,85.473709,37.0,242.0,0.9
5626,101.524097,53.422999,53.979695,81.567614,0.0,165.0,0.9
5627,114.86328,66.603846,68.567128,79.689852,4.0,204.0,1.0
5628,149.598465,77.202994,83.442907,78.915672,17.0,203.0,1.0
5629,217.160822,76.231306,81.580187,78.949964,54.0,576.0,1.0
5630,247.314417,65.005189,66.725988,79.807127,127.0,564.0,0.9
5631,259.514044,51.702964,52.171317,81.821712,83.0,401.0,0.9
5632,266.911569,37.951042,37.991447,86.048227,112.0,267.0,0.9
5633,272.705989,24.111989,24.135808,0.0,67.0,245.0,0.9
5634,278.070073,10.367912,10.469316,0.0,53.0,97.0,0.9
