Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,ED,Val_ED,Optimizer
1932,8,1,34,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,170.782,0.908,221.683,0.0,36.333,0.0,-0.783
1932,8,2,23,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,663.577,0.644,222.07,0.0,27.375,0.0,-0.304
1932,8,3,0,-0.06,0.97,0.0,0.643,0.0,0.435,0.435,1127.938,0.398,222.879,0.0,27.6,0.0,-0.435
1932,8,4,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,377.521,0.798,222.879,0.0,34.8,0.0,-0.826
1932,8,5,0,-0.08,0.97,0.0,0.643,0.0,0.565,0.565,878.484,0.531,222.879,0.0,30.0,0.0,-0.565
1932,8,6,34,0.05,0.975,0.0,0.724,0.0,0.304,0.304,564.236,0.697,221.671,0.0,17.214,0.0,-0.304
1932,8,7,17,0.0,0.973,0.0,0.722,0.0,0.0,0.0,1097.765,0.412,222.256,0.0,21.311,0.0,-0.0
1932,8,8,0,0.06,0.969,0.0,0.643,0.0,0.913,0.913,1127.938,0.398,222.879,0.0,12.24,0.0,-0.913
1932,8,9,15,0.05,0.975,0.0,0.724,0.0,0.304,0.304,767.196,0.589,222.327,0.0,14.572,0.0,-0.304
1932,9,0,32,0.0,0.973,0.0,0.722,0.0,0.0,0.0,866.269,0.535,221.749,0.0,23.017,0.0,-0.0
1932,9,1,38,-0.1,0.973,0.0,0.722,0.0,0.652,0.652,270.22,0.855,221.517,0.0,34.368,0.0,-0.652
1932,9,2,0,-0.11,0.97,0.0,0.643,0.0,0.783,0.783,503.019,0.731,222.879,0.0,33.6,0.0,-0.783
1932,9,3,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,377.521,0.798,222.879,0.0,34.8,0.0,-0.826
1932,9,4,0,-0.08,0.97,0.0,0.643,0.0,0.565,0.565,878.484,0.531,222.879,0.0,30.0,0.0,-0.565
1932,9,5,2,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,1016.81,0.457,222.79,0.0,27.607,0.0,-0.391
1932,9,6,28,0.08,0.973,0.0,0.719,0.0,0.478,0.478,426.326,0.771,221.874,0.0,12.815,0.0,-0.478
1932,9,7,15,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,773.391,0.586,222.34,0.0,26.832,0.0,-0.304
1932,9,8,18,-0.06,0.973,0.0,0.722,0.0,0.391,0.391,652.408,0.651,222.233,0.0,28.182,0.0,-0.391
1932,9,9,0,0.09,0.973,0.0,0.654,0.0,0.826,0.826,753.5,0.598,222.879,0.0,8.16,0.0,-0.826
1932,10,0,3,0.0,0.973,0.0,0.722,0.0,0.0,0.0,1606.465,0.141,222.743,0.0,20.434,0.0,-0.0
1932,10,1,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,377.521,0.798,222.879,0.0,34.8,0.0,-0.826
1932,10,2,0,-0.06,0.97,0.0,0.643,0.0,0.435,0.435,1127.938,0.398,222.879,0.0,27.6,0.0,-0.435
1932,10,3,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,377.521,0.798,222.879,0.0,34.8,0.0,-0.826
1932,10,4,6,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,297.086,0.841,222.654,0.0,34.853,0.0,-0.783
1932,10,5,0,-0.09,0.97,0.0,0.643,0.0,0.652,0.652,753.5,0.598,222.879,0.0,31.2,0.0,-0.652
1932,10,6,0,0.01,0.97,0.0,0.643,0.0,0.565,0.565,1678.495,0.103,222.845,0.0,19.04,0.0,-0.565
1932,10,7,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,377.521,0.798,222.879,0.0,34.8,0.0,-0.826
1932,10,8,9,0.04,0.975,0.0,0.724,0.0,0.217,0.217,997.116,0.467,222.558,0.0,15.324,0.0,-0.217
1932,10,9,13,0.05,0.975,0.0,0.724,0.0,0.304,0.304,816.71,0.563,222.42,0.0,14.358,0.0,-0.304
