Unnamed: 0,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio,PVG
108,272,68,-0.1,0.65217391,0.4319,0.5681,47.24305842352308
109,273,64,-0.12,0.7826087,0.3227,0.6773,153.9601565623335
110,274,48,-0.06,0.39130435,0.6514,0.3486,293.5838491375912
111,275,84,-0.12,0.7826087,0.2663,0.7337,241.40630895783633
112,276,22,-0.12,0.7826087,0.2861,0.7139,414.3774934628293
113,277,5,-0.04,0.26086957,0.7561,0.2439,371.5549313834046
114,278,50,0.14,0.86956522,0.1474,0.8526,260.3957879317571
115,279,14,-0.04,0.26086957,0.782,0.218,190.42248715145317
116,280,36,-0.04,0.26086957,0.7663,0.2337,49.23662815991858
117,281,24,-0.07,0.43478261,0.6052,0.3948,0.0
118,296,75,-0.05,0.34782609,0.4146,0.5854,40.4329512423618
119,297,74,-0.09,0.60869565,0.4736,0.5264,120.2580662415069
120,298,38,-0.04,0.26086957,0.7678,0.2322,271.06522305260415
121,299,39,0.01,0.04347826,0.9207,0.0793,362.5237443128842
122,300,21,0.11,0.69565217,0.3257,0.6743,395.4608380281937
123,301,27,0.12,0.73913043,0.248,0.752,338.5225369086518
124,302,32,0.13,0.82608696,0.2068,0.7932,282.63523456267575
125,303,33,0.05,0.26086957,0.6829,0.3171,161.87249942396755
126,304,74,0.03,0.39130435,0.6204,0.3796,32.23873176497624
127,305,36,0.09,0.56521739,0.4914,0.5086,0.0
128,320,56,0.01,0.17391304,0.6977,0.3023,76.63060673640153
129,321,29,-0.04,0.26086957,0.7932,0.2068,165.86138338029008
