,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio
405,975,48,0.03,0.17391304,0.7932,0.2068
406,976,2,0.04,0.2173913,0.7485,0.2515
407,977,39,0.05,0.26086957,0.7246,0.2754
408,992,66,-0.08,0.52173913,0.5488,0.4512
409,993,59,0.03,0.26086957,0.8034,0.1966
410,994,10,0.04,0.2173913,0.7485,0.2515
411,995,7,0.1,0.60869565,0.3857,0.6143
412,996,23,0.08,0.47826087,0.5041,0.4959
413,997,45,0.14,0.86956522,0.126,0.874
414,998,9,0.14,0.86956522,0.1474,0.8526
415,999,66,-0.06,0.39130435,0.6352,0.3648
416,1000,24,-0.05,0.30434783,0.7094,0.2907
417,1001,81,-0.01,0.47826087,0.5259,0.4741
418,1016,27,-0.06,0.39130435,0.6977,0.3023
419,1017,14,-0.05,0.30434783,0.7175,0.2825
420,1018,68,-0.05,0.34782609,0.7007,0.2993
421,1019,47,-0.05,0.34782609,0.7022,0.2978
422,1020,39,0,0.17391304,0.9797,0.0203
423,1021,24,0.07,0.39130435,0.5528,0.4472
424,1022,49,0.14,0.86956522,0.1474,0.8526
425,1023,40,-0.01,0.08695652,0.9411,0.0589
426,1024,63,0.02,0.2173913,0.845,0.155
427,1025,68,0.07,0.47826087,0.5874,0.4126
428,1040,46,-0.08,0.52173913,0.5727,0.4273
429,1041,80,-0.03,0.43478261,0.7907,0.2094
430,1042,83,-0.07,0.47826087,0.5696,0.4304
431,1043,32,-0.05,0.34782609,0.7221,0.2779
432,1044,58,0.1,0.65217391,0.3852,0.6148
433,1045,74,0.01,0.30434783,0.9187,0.0813
434,1046,81,0.1,0.82608696,0.3852,0.6148
435,1047,56,-0.06,0.39130435,0.6509,0.3491
436,1048,75,-0.01,0.39130435,0.8532,0.1469
437,1049,37,0,0.13043478,0.9919,0.0081
438,1064,34,0.04,0.2173913,0.7856,0.2144
439,1065,6,0.13,0.82608696,0.2475,0.7525
440,1066,81,0.13,0.86956522,0.2266,0.7734
441,1067,77,0.14,0.91304348,0.1474,0.8526
442,1068,90,-0.01,0.69565217,0.7419,0.2581
443,1069,16,-0.06,0.39130435,0.6341,0.3659
444,1070,40,-0.14,0.91304348,0.187,0.813
445,1071,50,0,0.17391304,0.9797,0.0203
446,1072,71,-0.08,0.52173913,0.5285,0.4715
447,1073,32,-0.02,0.13043478,0.9045,0.0955
448,1088,36,0.02,0.08695652,0.8892,0.1108
449,1089,10,-0.09,0.56521739,0.4919,0.5081
450,1090,71,0.08,0.56521739,0.5163,0.4837
451,1091,83,0.06,0.69565217,0.6184,0.3816
452,1092,75,0.03,0.39130435,0.8013,0.1987
