Hoy,Azimuth,Altitude,Hor_Angle,Ver_Angle,I_direct,I_diffuse,sky_cover,max_irradiance,max_pv_generation
2527,84.010002,12.28519,12.350576,0.0,1.0,35.0,0.9,31.14321455067929,149.48742984326057
2528,89.504213,26.077944,26.078774,0.0,29.0,123.0,0.9,670.2115001324803,3217.0152006359053
2529,95.673689,39.906734,40.045268,83.258302,63.0,224.0,0.9,1469.1291384075914,7051.819864356438
2530,103.95493,53.556807,54.373346,79.902738,119.0,316.0,0.9,2142.673459195199,10284.832604136955
2531,118.446878,66.516337,69.092405,78.307225,294.0,407.0,0.9,11826.136600770125,56765.4556836966
2532,154.695731,76.415849,84.103389,77.677435,182.0,369.0,0.9,3254.0002437429607,15619.20116996621
2533,216.775731,74.855052,80.795737,77.767757,147.0,471.0,0.9,2182.639906172839,10476.671549629626
2534,245.812254,63.814878,65.840512,78.608598,13.0,561.0,0.9,609.6604247957181,2926.3700390194467
2535,258.285386,50.6241,51.214272,80.539505,366.0,346.0,0.9,14843.86680683849,71250.56067282475
2536,265.916357,36.916496,36.986443,84.58517,174.0,316.0,0.8,2589.489285146115,12429.548568701352
2537,271.868364,23.090725,23.101707,0.0,173.0,219.0,0.7,2653.0681322440546,12734.727034771462
2538,277.340076,9.347598,9.423478,0.0,38.0,135.0,0.7,673.2041337012616,3231.379841766056
2551,83.693462,12.464617,12.538127,0.0,3.0,38.0,0.0,84.77814989554207,406.9351194986019
2552,89.156792,26.253317,26.255799,0.0,133.0,143.0,0.0,3525.9281060534668,16924.45490905664
2553,95.269545,40.0858,40.205375,83.772531,279.0,249.0,0.0,8682.514597907453,41676.07006995577
2554,103.451186,53.753588,54.510267,80.321917,351.0,330.0,0.0,6154.334075173328,29540.80356083197
2555,117.790611,66.761389,69.199726,78.678856,495.0,386.0,0.0,8966.319814074008,43038.335107555235
2556,154.305473,76.76152,84.175935,78.030857,519.0,415.0,0.0,9273.74662505645,44513.98380027096
2557,217.729851,75.11291,80.760267,78.126375,539.0,417.0,0.1,9619.91434522397,46175.588857075054
2558,246.566167,63.946592,65.840722,78.997502,532.0,405.0,0.1,10536.563224133259,50575.50347583964
2559,258.832056,50.709764,51.24554,80.994968,478.0,370.0,0.2,12725.830993721673,61083.98876986402
2560,266.354135,36.986591,37.042375,85.1741,397.0,315.0,0.1,6352.527239271721,30492.130748504256
2561,272.248977,23.159188,23.17514,0.0,272.0,227.0,0.1,4418.651791526151,21209.528599325524
2562,277.693198,9.422784,9.506794,0.0,91.0,119.0,0.0,1625.4278779877343,7802.053814341124
2575,83.378609,12.641122,12.72328,0.0,36.0,36.0,0.7,888.9179688486099,4266.806250473327
2576,88.810693,26.425296,26.430248,0.0,330.0,105.0,0.4,10469.68364918836,50254.481516104126
2577,94.866033,40.26087,40.362955,84.280181,512.0,178.0,0.2,20676.06489014714,99245.11147270627
2578,102.946058,53.945537,54.644627,80.736866,552.0,265.0,0.2,10610.412233223085,50929.97871947081
2579,117.125015,67.000667,69.304595,79.047139,664.0,243.0,0.2,13027.1114757631,62530.13508366288
2580,153.893121,77.10324,84.246426,78.381353,754.0,238.0,0.3,14395.686821472837,69099.29674306962
2581,218.704406,75.365351,80.726388,78.482072,475.0,309.0,0.2,16549.040870800083,79435.39617984039
2582,247.319421,64.074395,65.842167,79.38326,658.0,303.0,0.2,12387.22892500057,59458.69884000273
2583,259.375434,50.793334,51.277747,81.446431,648.0,253.0,0.2,12531.577833021243,60151.573598501964
2584,266.788563,37.055682,37.099001,85.756926,557.0,210.0,0.2,11017.801473246951,52885.44707158536
2585,272.626372,23.22735,23.2492,0.0,457.0,175.0,0.2,9104.557314321912,43701.875108745175
2586,278.043096,9.498164,9.590779,0.0,147.0,122.0,0.2,2522.568483674138,12108.328721635862
2599,83.065522,12.81462,12.905881,0.0,0.0,37.0,1.0,4.44,21.312
2600,88.466021,26.593805,26.602011,0.0,17.0,131.0,0.9,651.4758730044667,3127.0841904214403
2601,94.463303,40.431872,40.517792,84.781341,57.0,220.0,0.9,2504.967587977741,12023.844422293156
2602,102.439773,54.132574,54.776434,81.147509,87.0,296.0,0.9,1649.2449314918215,7916.375671160743
2603,116.450319,67.234036,69.407186,79.412068,111.0,486.0,0.9,1561.5290720723904,7495.339545947473
2604,153.457193,77.440842,84.314818,78.728759,253.0,561.0,0.9,3099.6243303001297,14878.196785440621
2605,219.699274,75.612274,80.694253,78.834787,465.0,438.0,0.8,28124.80788875558,134999.07786602678
2606,248.071559,64.198349,65.844838,79.765767,407.0,427.0,0.6,6476.7657087945645,31088.47540221391
2607,259.915292,50.874881,51.310886,81.893877,221.0,341.0,0.5,3785.4325686263023,18170.07632940625
2608,267.219493,37.123827,37.15634,86.333106,87.0,389.0,0.6,1051.9026199700497,5049.132575856239
2609,273.000428,23.295252,23.323795,0.0,58.0,200.0,0.8,993.8492082694006,4770.476199693123
2610,278.389662,9.573763,9.675363,0.0,42.0,112.0,0.9,728.3839927615314,3496.243165255351
2623,82.754277,12.98503,13.085953,0.0,20.0,39.0,0.6,567.7235736512289,2725.0731535258988
2624,88.122883,26.758773,26.771127,0.0,297.0,111.0,0.4,10981.65013203988,52711.92063379142
2625,94.06151,40.598741,40.669953,85.275868,299.0,191.0,0.3,13156.416104608354,63150.797302120096
2626,101.932572,54.314626,54.905535,81.553751,265.0,323.0,0.4,6180.693144926629,29667.32709564782
2627,115.76679,67.461365,69.507225,79.773482,513.0,339.0,0.5,9494.556274682685,45573.87011847689
2628,152.996114,77.774154,84.381132,79.073104,325.0,410.0,0.7,5473.990739073729,26275.1555475539
2629,220.714274,75.853585,80.66382,79.184391,253.0,478.0,0.7,11706.937463190176,56193.29982331284
2630,248.822119,64.318522,65.848838,80.144893,185.0,461.0,0.8,2663.221799254545,12783.464636421817
2631,260.451405,50.954479,51.344996,82.336927,115.0,384.0,0.9,1771.9331151231681,8505.278952591207
2632,267.646777,37.191083,37.214363,86.902665,75.0,414.0,0.9,1084.5070058339513,5205.633628002966
2633,273.371028,23.362933,23.399071,0.0,46.0,149.0,0.9,940.4170471022262,4514.001826090685
2634,278.732789,9.6496,9.760604,0.0,14.0,90.0,0.9,308.8471927516379,1482.4665252078619
2646,76.949804,0.0214,0.021938,0.0,0.0,0.0,0.9,0.0,0.0
2647,82.444957,13.152273,13.263398,0.0,1.0,50.0,0.9,35.29763855743583,169.42866507569198
2648,87.781389,26.920132,26.937482,0.0,15.0,122.0,0.9,612.3790187036194,2939.4192897773733
2649,93.660813,40.761414,40.819329,85.76376,38.0,204.0,0.9,1653.2698895473184,7935.695469827127
2650,101.424708,54.491623,55.032017,81.955527,45.0,249.0,0.9,1864.3405466243246,8948.834623796758
2651,115.074734,67.682529,69.604863,80.131362,34.0,285.0,0.9,789.4433943613591,3789.3282929345232
2652,152.508217,78.103002,84.445224,79.414203,101.0,668.0,0.9,1370.5547067521272,6578.662592410211
2653,221.749166,76.089194,80.635081,79.530833,179.0,440.0,0.9,2846.758779957035,13664.442143793769
2654,249.570641,64.434988,65.854186,80.520458,81.0,298.0,0.9,1603.5307495759332,7696.947597964479
2655,260.983552,51.032201,51.380071,82.775636,4.0,404.0,0.9,117.4677236795825,563.845073661996
2656,268.070271,37.257507,37.273168,87.465074,105.0,284.0,0.9,1762.3921308991341,8459.482228315843
2657,273.738054,23.430431,23.474958,0.0,5.0,141.0,1.0,128.4996345907985,616.7982460358328
2658,279.072372,9.725695,9.84648,0.0,19.0,80.0,1.0,434.4836608016139,2085.5215718477466
2670,76.658016,0.168633,0.173299,0.0,0.0,0.0,0.9,0.0,0.0
2671,82.137643,13.316273,13.438067,0.0,2.0,37.0,0.9,60.35893051103166,289.72286645295196
2672,87.441652,27.077817,27.100961,0.0,4.0,80.0,1.0,147.98043976867174,710.3061108896244
2673,93.261378,40.919831,40.965785,86.245044,55.0,210.0,1.0,1890.2240654597153,9073.075514206634
2674,100.916441,54.663502,55.155659,82.352792,58.0,162.0,1.0,3136.3403414660565,15054.43363903707
2675,114.3745,67.897412,69.699902,80.485559,9.0,315.0,0.9,336.84972802836967,1616.8786945361744
2676,151.991736,78.427204,84.507162,79.75206,65.0,440.0,0.9,2386.653346466986,11455.936063041532
2677,222.80364,76.31902,80.608149,79.874014,26.0,309.0,0.9,607.3211835831708,2915.1416811992194
2678,250.316666,64.547822,65.860904,80.892341,12.0,338.0,1.0,534.859376230589,2567.325005906827
2679,261.511515,51.108123,51.416157,83.209615,63.0,140.0,1.0,1526.3637795343236,7326.546141764753
2680,268.489831,37.323155,37.332771,88.020275,4.0,166.0,1.0,114.03199850809689,547.3535928388651
2681,274.101392,23.497784,23.551571,0.0,28.0,169.0,1.0,604.4610930489683,2901.413246635048
2682,279.408305,9.802067,9.933066,0.0,17.0,61.0,1.0,400.16060454196554,1920.7709018014345
2694,76.368534,0.315347,0.324498,0.0,0.0,0.0,0.8,0.0,0.0
2695,81.832419,13.476957,13.609927,0.0,4.0,40.0,0.8,118.87958016655246,570.6219847994518
2696,87.103786,27.231766,27.261576,0.0,26.0,104.0,0.9,903.1490570206041,4335.115473698899
2697,92.863371,41.07394,41.109382,86.719576,39.0,195.0,0.9,1021.990533358169,4905.554560119212
2698,100.408043,54.830206,55.276533,82.745423,15.0,197.0,0.9,873.6784185412896,4193.65640899819
