,vis,sd_angle,sd_position
508,60.869565,53.0,-0.09
509,60.869565,54.0,-0.09
510,60.869565,55.0,-0.09
511,60.869565,56.0,-0.09
512,60.869565,57.0,-0.09
513,60.869565,58.0,-0.09
514,60.869565,59.0,-0.09
515,60.869565,60.0,-0.09
516,60.869565,61.0,-0.09
517,60.869565,62.0,-0.09
518,60.869565,63.0,-0.09
519,60.869565,64.0,-0.09
520,60.869565,65.0,-0.09
521,60.869565,66.0,-0.09
522,60.869565,67.0,-0.09
523,60.869565,68.0,-0.09
524,60.869565,69.0,-0.09
525,60.869565,70.0,-0.09
526,60.869565,71.0,-0.09
527,60.869565,72.0,-0.09
528,60.869565,73.0,-0.09
529,60.869565,74.0,-0.09
530,60.869565,75.0,-0.09
531,60.869565,76.0,-0.09
532,60.869565,77.0,-0.09
533,60.869565,78.0,-0.09
534,60.869565,79.0,-0.09
535,60.869565,80.0,-0.09
536,60.869565,81.0,-0.09
537,60.869565,82.0,-0.09
538,60.869565,83.0,-0.09
539,60.869565,84.0,-0.09
540,60.869565,85.0,-0.09
541,60.869565,86.0,-0.09
542,60.869565,87.0,-0.09
543,60.869565,88.0,-0.09
544,60.869565,89.0,-0.09
545,60.869565,90.0,-0.09
546,52.173913,0.0,-0.08
547,52.173913,1.0,-0.08
548,52.173913,2.0,-0.08
549,52.173913,3.0,-0.08
550,52.173913,4.0,-0.08
551,52.173913,5.0,-0.08
552,52.173913,6.0,-0.08
553,52.173913,7.0,-0.08
554,52.173913,8.0,-0.08
555,52.173913,9.0,-0.08
556,52.173913,10.0,-0.08
557,52.173913,11.0,-0.08
558,52.173913,12.0,-0.08
559,52.173913,13.0,-0.08
560,52.173913,14.0,-0.08
561,52.173913,15.0,-0.08
562,52.173913,16.0,-0.08
563,52.173913,17.0,-0.08
564,52.173913,18.0,-0.08
565,52.173913,19.0,-0.08
566,52.173913,20.0,-0.08
567,52.173913,21.0,-0.08
568,52.173913,22.0,-0.08
569,52.173913,23.0,-0.08
570,52.173913,24.0,-0.08
571,52.173913,25.0,-0.08
572,52.173913,26.0,-0.08
573,52.173913,27.0,-0.08
574,52.173913,28.0,-0.08
575,52.173913,29.0,-0.08
576,52.173913,30.0,-0.08
577,52.173913,31.0,-0.08
578,52.173913,32.0,-0.08
579,52.173913,33.0,-0.08
580,52.173913,34.0,-0.08
581,52.173913,35.0,-0.08
582,52.173913,36.0,-0.08
583,52.173913,37.0,-0.08
584,52.173913,38.0,-0.08
585,52.173913,39.0,-0.08
586,52.173913,40.0,-0.08
587,52.173913,41.0,-0.08
588,52.173913,42.0,-0.08
589,52.173913,43.0,-0.08
590,52.173913,44.0,-0.08
591,52.173913,45.0,-0.08
592,52.173913,46.0,-0.08
593,52.173913,47.0,-0.08
594,52.173913,48.0,-0.08
595,52.173913,49.0,-0.08
596,52.173913,50.0,-0.08
597,52.173913,51.0,-0.08
598,52.173913,52.0,-0.08
599,52.173913,53.0,-0.08
600,52.173913,54.0,-0.08
601,52.173913,55.0,-0.08
602,52.173913,56.0,-0.08
603,52.173913,57.0,-0.08
604,52.173913,58.0,-0.08
605,52.173913,59.0,-0.08
606,52.173913,60.0,-0.08
607,52.173913,61.0,-0.08
608,52.173913,62.0,-0.08
609,52.173913,63.0,-0.08
610,52.173913,64.0,-0.08
611,52.173913,65.0,-0.08
612,52.173913,66.0,-0.08
613,52.173913,67.0,-0.08
614,52.173913,68.0,-0.08
615,52.173913,69.0,-0.08
616,52.173913,70.0,-0.08
617,52.173913,71.0,-0.08
618,52.173913,72.0,-0.08
619,52.173913,73.0,-0.08
620,56.521739,74.0,-0.08
621,56.521739,75.0,-0.08
622,56.521739,76.0,-0.08
623,56.521739,77.0,-0.08
